Country Code,City,Locality,Longitude,Latitude,Cuisines,Average Cost for two,Has Table booking,Has Online delivery,Price range,Aggregate rating,Votes,name_length,address_length
216,72,1170,-83.600201,32.619321,168,25,0,0,2,4.2,288,12,53
216,72,1170,-83.665557,32.593264,1130,10,0,0,1,4.0,232,11,45
216,72,1170,-83.7184,32.6147,1125,40,0,0,3,4.1,314,37,41
14,77,654,151.7343832,-32.899178,115,20,0,0,2,2.9,11,11,28
216,78,658,-85.7363,46.3718,269,10,0,0,1,2.4,17,19,40
14,79,666,117.917166,-35.025861,219,30,0,0,3,3.8,176,13,35
216,80,667,-98.9891,44.5158,1818,0,0,0,1,3.4,11,20,36
216,82,678,-89.653487,42.606306,1098,25,0,0,2,3.6,65,29,29
14,83,679,152.893735,-26.690462,617,30,0,0,3,2.4,193,10,27
216,90,729,-106.057666,36.313638,67,40,0,0,3,3.6,30,23,83
216,91,195,-81.381077,28.540432,1741,40,0,0,3,4.4,981,31,41
216,91,287,-81.585226,28.405437,948,45,0,0,3,4.5,1151,6,49
216,91,288,-81.514608,28.372858,91,35,0,0,3,4.7,1341,16,52
216,91,288,-81.517725,28.371338,1030,50,0,0,4,4.3,782,36,52
216,91,448,-81.469986,28.440344,1301,40,0,0,3,4.6,1293,17,43
216,91,448,-81.4510725,28.4676808,267,100,0,0,4,4.6,2324,15,43
216,91,448,-81.471526,28.437065,492,45,0,0,3,4.3,910,27,43
